Atelocynus microtis
Canis adustus
Canis aureus
Canis latrans
Canis lupus
Canis mesomelas
Canis rufus
Canis simensis
Cerdocyon thous
Chrysocyon brachyurus
Cuon alpinus
Dusicyon australis
Lycaon pictus
Nyctereutes procyonoides
Otocyon megalotis
Pseudalopex culpaeus
Pseudalopex fulvipes
Pseudalopex griseus
Pseudalopex gymnocercus
Pseudalopex sechurae
Pseudalopex vetulus
Speothos venaticus
Urocyon cinereoargenteus
Urocyon littoralis
Vulpes bengalensis
Vulpes cana
Vulpes chama
Vulpes corsac
Vulpes ferrilata
Vulpes lagopus
Vulpes macrotis
Vulpes pallida
Vulpes rueppellii
Vulpes velox
Vulpes vulpes
Vulpes zerda
