Atelocynus microtis	
Canis adustus	
Canis aureus	
Canis latrans	
Canis lupus	
Canis mesomelas	
Canis rufus	
Canis simensis	
Cerdocyon thous	
Chrysocyon brachyurus	
Cuon alpinus	
Dusicyon australis	
Lycalopex culpaeus	
Lycalopex fulvipes	
Lycalopex griseus	
Lycalopex gymnocercus	
Lycalopex sechurae	
Lycalopex vetulus	
Lycaon pictus	
Nyctereutes procyonoides	
Otocyon megalotis	
Speothos venaticus	
Urocyon cinereoargenteus	
Urocyon littoralis	
Vulpes bengalensis 	
Vulpes cana	
Vulpes chama 	
Vulpes corsac 	
Vulpes ferrilata 	
Vulpes lagopus	
Vulpes macrotis	
Vulpes pallida	
Vulpes rueppellii	
Vulpes velox	
Vulpes vulpes	
Vulpes zerda
